Title,Year,Type,Pages
Carrie,1974,novel,199
Salem's Lot,1975,novel,439
The Shining,1977,novel,447
Rage,1977,novel,211
The Stand,1978,novel,823
Night Shift,1978,collection,336
The Long Walk,1979,novel,384
The Dead Zone,1979,novel,428
Firestarter,1980,novel,426
Roadwork,1981,novel,274
Danse Macabre,1981,non-fiction,400
Cujo,1981,novel,319
The Running Man,1982,novel,219
The Dark Tower: The Gunslinger,1982,novel,224
Different seasons,1982,collection,527
Creepshow,1982,comic,64
Pet Sematary,1983,novel,416
Cycle of the Werewolf,1983,novel,127
Christine,1983,novel,526
Thinner,1984,novel,309
The Talisman,1984,novel,646
The Bachman Books,1985,collection,692
Skeleton Crew,1985,collection,512
It,1986,novel,1142
The Tommyknockers,1987,novel,558
The Eyes of the Dragon,1987,novel,326
The Dark Tower II: The Drawing of the Three,1987,novel,400
Misery,1987,novel,320
Nightmares in the Sky,1988,non-fiction,128
The Dark Half,1989,novel,431
The Stand: The Complete & Uncut Edition,1990,novel,1152
Four Past Midnight,1990,collection,763
The Dark Tower III: The Waste Lands,1991,novel,512
Needful Things,1991,novel,690
Gerald's Game,1992,novel,352
Dolores Claiborne,1992,novel,305
Nightmares & Dreamscapes,1993,collection,816
Insomnia,1994,novel,832
Rose Madder,1995,novel,432
The Regulators,1996,novel,480
The Green Mile,1996,novel,400
Desperation,1996,novel,704
The Dark Tower IV: Wizard and Glass,1997,novel,787
Six Stories,1997,collection,199
Bag of Bones,1998,novel,529
The New Lieutenant's Rap,1999,short story,
The Girl Who Loved Tom Gordon,1999,novel,224
Storm of the Century,1999,screenplay,400
Hearts in Atlantis,1999,collection,528
Blood and Smoke,1999,collection,
The Plant,2000,unfinished serial e-book,
Secret Windows,2000,non-fiction,433
On Writing,2000,non-fiction,288
Dreamcatcher,2001,novel,620
Black House,2001,novel,625
From a Buick 8,2002,novel,368
Everything's Eventual,2002,collection,464
The Dark Tower: The Gunslinger: Revised and Expanded Edition,2003,novel,256
The Dark Tower V: Wolves of the Calla,2003,novel,714
The Dark Tower VII: The Dark Tower,2004,novel,845
The Dark Tower VI: Song of Susannah,2004,novel,432
Faithful,2004,non-fiction,432
The Colorado Kid,2005,novel,184
Salem's Lot: Illustrated Edition,2005,novel,600
Lisey's Story,2006,novel,528
Cell,2006,novel,355
Blaze,2007,novel,304
Just After Sunset,2008,collection,367
Duma Key,2008,novel,611
Ur,2009,e-book,
Under the Dome,2009,novel,1074
Stephen King Goes to the Movies,2009,collection,592
"Full Dark, No Stars",2010,collection,368
Blockade Billy,2010,novella,112
Mile 81,2011,e-book,80
It: The 25th Anniversary Special Edition,2011,novel,
11/22/63,2011,novel,849
The Dark Tower: The Wind Through the Keyhole,2012,novel,336
A Face in the Crowd,2012,e-book,50
Joyland,2013,novel,TBA
Doctor Sleep,2013,novel,544
